Label:, CH2: ŽžŠÔŽ²”gŒ`
DateTime:, Thu Aug 03 15:59:12 2017
DataKind:, CH2, Time, Real
DataPoints:, 4096
DataCalc:
Frequency:, 0.000 , 5000.000, Hz
Sample:, 4096, Internal
Average:, 0, Power/Sum
Voltage(CH2):, -10.000, dBVrms
EU/V(CH2):, 1.093E+003
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, m/s2
Y-AxisMagniude:
3.94531250E-002, -5.04174376E+000
3.95312500E-002, -2.76038551E+001
3.96093750E-002, 4.32812023E+000
3.96875000E-002, 3.28229561E+001
3.97656250E-002, 1.00809240E+001
3.98437500E-002, -2.65856247E+001
3.99218750E-002, -2.48905945E+001
4.00000000E-002, 8.74107361E+000
4.00781250E-002, 2.20000343E+001
4.01562500E-002, -4.31104851E+000
4.02343750E-002, -2.05349159E+001
4.03125000E-002, 6.32263041E+000
4.03906250E-002, 2.10038872E+001
4.04687500E-002, -1.35409031E+001
4.05468750E-002, -2.68161201E+001
4.06250000E-002, 2.06363544E+001
4.07031250E-002, 4.18784256E+001
4.07812500E-002, -9.78191090E+000
4.08593750E-002, -4.09117012E+001
4.09375000E-002, -4.77535844E-001
4.10156250E-002, 2.83428822E+001
4.10937500E-002, 2.61258036E-001
4.11718750E-002, -1.98591061E+001
4.12500000E-002, 1.35639757E-001
4.13281250E-002, 1.14734459E+001
4.14062500E-002, -6.65007687E+000
4.14843750E-002, -1.88874874E+001
4.15625000E-002, -1.57384074E+000
4.16406250E-002, 2.49187946E+001
4.17187500E-002, 2.08258305E+001
4.17968750E-002, -1.65030708E+001
4.18750000E-002, -3.03478813E+001
4.19531250E-002, 8.28101730E+000
4.20312500E-002, 3.23307381E+001
4.21093750E-002, -3.00295234E+000
4.21875000E-002, -2.72242050E+001
4.22656250E-002, 5.26757717E+000
4.23437500E-002, 1.93053589E+001
4.24218750E-002, -2.08682461E+001
4.25000000E-002, -2.95927734E+001
4.25781250E-002, 2.01257229E+001
4.26562500E-002, 3.56222153E+001
4.27343750E-002, -1.10248089E+001
4.28125000E-002, -3.35890198E+001
4.28906250E-002, -3.58210146E-001
4.29687500E-002, 2.43084164E+001
4.30468750E-002, 9.22257137E+000
4.31250000E-002, -9.59336662E+000
4.32031250E-002, -5.38923311E+000
4.32812500E-002, 6.22707701E+000
